county,PercentofJailPop_Black,lat,lng
Adams,0,46.9834,-118.5606
Asotin,8,46.1918,-117.203
Benton,6.1016949,46.2398,-119.5112
Chelan,2.6660204,47.8692,-120.619
Clallam,1.8292683,48.0493,-123.928
Clark,13.3823529,45.7793,-122.4825
Columbia,10.1428571,46.2975,-117.9078
Cowlitz,2.006689,46.1932,-122.681
Douglas,2.6659651,47.7361,-119.6918
Ferry,3.3333333,48.4703,-118.5166
Franklin,10.2150538,46.5347,-118.8989
Garfield,0,46.4316,-117.5452
Grant,5.1162791,47.2057,-119.4518
Grays Harbor,2.180791,47.1503,-123.7735
Island,4.7109208,48.163,-122.5481
Jefferson,4.1666667,47.7489,-123.5952
King,30.8480392,47.4902,-121.8052
Kitsap,14.9184149,47.6132,-122.6717
Kittitas,6.0606061,47.1244,-120.6799
Klickitat,3.7631579,45.8738,-120.7891
Lewis,9.8522167,46.5778,-122.3927
Lincoln,13.6363636,47.5763,-118.4187
Mason,0.8547009,47.3484,-123.1927
Okanogan,1.7449504,48.5488,-119.7408
Pacific,2.65,46.5557,-123.7041
Pend Oreille,0,48.5323,-117.274
Pierce,28.0687398,47.0241,-122.1046
San Juan ,4.6728972,48.5782,-122.965
Skagit,3.6437247,48.4794,-121.7302
Skamania,3.5714286,46.023,-121.9147
Snohomish,10.699422,48.0475,-121.6975
Spokane,13.0477118,47.6207,-117.404
Stevens,2.5,48.3991,-117.8552
Thurston,10.7302231,46.9258,-122.8332
Wahkiakum,0,46.2918,-123.4244
Walla Walla,4.109589,46.2298,-118.4784
Whatcom,5.8394161,48.8259,-121.7199
Whitman,2.6315789,46.9012,-117.523
Yakima,7.0913043,46.4571,-120.7384